Language code,Language,Evaluation track,Comparison,First transfer configuration,Second transfer configuration,First-condition macro-F1,Second-condition macro-F1,Macro-F1 difference (first minus second),95% confidence interval lower bound,95% confidence interval upper bound,Raw p-value,Higher-scoring condition,Holm-adjusted p-value,Significant after Holm correction (alpha=0.05),Evaluation split,Statistical test
ENG,English,Track A,C1 vs C2,C1,C2,0.7240991949276269,0.7314110610348725,-0.007311866107245657,-0.04552623209080272,0.030726495692166966,0.7035296470352965,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
ENG,English,Track A,C1 vs C3,C1,C3,0.7240991949276269,0.7633878652781401,-0.0392886703505132,-0.07722076954176077,-0.0003408338469690093,0.04739526047395261,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
ENG,English,Track A,C2 vs C3,C2,C3,0.7314110610348725,0.7633878652781401,-0.03197680424326754,-0.07308239205966305,0.007824803337983072,0.11198880111988802,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
ENG,English,Track C,C1 vs C2,C1,C2,0.32179271708683477,0.41966245246171247,-0.0978697353748777,-0.1492180880551468,-0.04577558092521203,0.00039996000399960006,C2,0.014798520147985203,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
ENG,English,Track C,C1 vs C3,C1,C3,0.32179271708683477,0.2764143377839603,0.04537837930287447,-0.015699888629883706,0.10687942521193745,0.140985901409859,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
ENG,English,Track C,C2 vs C3,C2,C3,0.41966245246171247,0.2764143377839603,0.14324811467775217,0.08800673809305827,0.19957086872125115,0.00019998000199980003,C2,0.008399160083991601,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HIN,Hindi,Track A,C1 vs C2,C1,C2,0.8433294745356456,0.8029021436993921,0.040427330836253494,0.0003135250219641814,0.08620108797510195,0.0491950804919508,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HIN,Hindi,Track A,C1 vs C3,C1,C3,0.8433294745356456,0.8276057791537667,0.0157236953818789,-0.020263948827751174,0.055985857741456306,0.40015998400159986,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HIN,Hindi,Track A,C2 vs C3,C2,C3,0.8029021436993921,0.8276057791537667,-0.024703635454374595,-0.06097226806826377,0.009636065663929577,0.1573842615738426,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HIN,Hindi,Track C,C1 vs C2,C1,C2,0.6474486024486024,0.7743710929622908,-0.12692249051368842,-0.18430819015248925,-0.06927697503680495,0.00019998000199980003,C2,0.008399160083991601,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HIN,Hindi,Track C,C1 vs C3,C1,C3,0.6474486024486024,0.67339978298236,-0.025951180533757667,-0.09679703165096844,0.04630743637198641,0.4737526247375263,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HIN,Hindi,Track C,C2 vs C3,C2,C3,0.7743710929622908,0.67339978298236,0.10097130997993076,0.03946946842900212,0.16170851238460013,0.0017998200179982,C2,0.059394060593940604,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
RUS,Russian,Track A,C1 vs C2,C1,C2,0.8676827283103581,0.8699116406489678,-0.0022289123386096676,-0.02044227448505343,0.0159644400577301,0.8075192480751925,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
RUS,Russian,Track A,C1 vs C3,C1,C3,0.8676827283103581,0.8784380638135332,-0.01075533550317509,-0.03858838566750794,0.017855008950617837,0.46355364463553644,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
RUS,Russian,Track A,C2 vs C3,C2,C3,0.8699116406489678,0.8784380638135332,-0.008526423164565422,-0.03478215147588909,0.01848062548770953,0.5253474652534746,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
RUS,Russian,Track C,C1 vs C2,C1,C2,0.7214831897862974,0.8278692414193519,-0.10638605163305448,-0.14256179476960842,-0.07182788427942267,0.00019998000199980003,C2,0.008399160083991601,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
