Language,Language code,Resource tier,Prompt condition,Anger F1,Disgust F1,Fear F1,Joy F1,Sadness F1,Surprise F1,Macro-F1,Evaluation split,Analysis scope
English,ENG,1,P0,0.7407,0.0,0.5176,0.6522,0.6667,0.56,0.6274,Validation,Internal Gemma prompt comparison
English,ENG,1,P1,0.7407,0.0,0.5,0.6667,0.6182,0.5306,0.6112,Validation,Internal Gemma prompt comparison
English,ENG,1,P2,0.6923,0.0,0.4578,0.6531,0.6429,0.5882,0.6069,Validation,Internal Gemma prompt comparison
English,ENG,1,P3,0.6923,0.0,0.4578,0.6809,0.6316,0.56,0.6045,Validation,Internal Gemma prompt comparison
Hindi,HIN,1,P0,0.7895,0.6429,0.875,0.6286,0.7895,0.7273,0.7421,Validation,Internal Gemma prompt comparison
Hindi,HIN,1,P1,0.8333,0.7407,0.8125,0.6471,0.8333,0.7619,0.7715,Validation,Internal Gemma prompt comparison
Hindi,HIN,1,P2,0.9091,0.6429,0.8667,0.6471,0.8387,0.7273,0.7719,Validation,Internal Gemma prompt comparison
Hindi,HIN,1,P3,0.9091,0.6667,0.8667,0.6471,0.8,0.7619,0.7752,Validation,Internal Gemma prompt comparison
Russian,RUS,1,P0,0.8364,0.8333,0.866,0.8354,0.8506,0.6866,0.818,Validation,Internal Gemma prompt comparison
Russian,RUS,1,P1,0.8519,0.8727,0.8936,0.8462,0.8471,0.7368,0.8414,Validation,Internal Gemma prompt comparison
Russian,RUS,1,P2,0.8713,0.7273,0.8235,0.88,0.8944,0.7667,0.8272,Validation,Internal Gemma prompt comparison
Russian,RUS,1,P3,0.8627,0.7717,0.9545,0.8684,0.8503,0.7395,0.8412,Validation,Internal Gemma prompt comparison
Hausa,HAU,2,P0,0.5882,0.4473,0.5969,0.6338,0.6583,0.4393,0.5606,Validation,Internal Gemma prompt comparison
Hausa,HAU,2,P1,0.6341,0.4528,0.604,0.6548,0.6986,0.5918,0.606,Validation,Internal Gemma prompt comparison
Hausa,HAU,2,P2,0.6276,0.4688,0.5778,0.6815,0.7107,0.5714,0.6063,Validation,Internal Gemma prompt comparison
Hausa,HAU,2,P3,0.6346,0.4727,0.5393,0.6643,0.7286,0.5714,0.6018,Validation,Internal Gemma prompt comparison
Kinyarwanda,KIN,2,P0,0.5614,0.2527,0.3883,0.5972,0.5613,0.1667,0.4213,Validation,Internal Gemma prompt comparison
Kinyarwanda,KIN,2,P1,0.5831,0.2769,0.3964,0.6097,0.5973,0.2667,0.455,Validation,Internal Gemma prompt comparison
Kinyarwanda,KIN,2,P2,0.4603,0.2264,0.4186,0.5732,0.4,0.2703,0.3915,Validation,Internal Gemma prompt comparison
Kinyarwanda,KIN,2,P3,0.5442,0.243,0.4348,0.6213,0.4818,0.2564,0.4303,Validation,Internal Gemma prompt comparison
Sundanese,SUN,2,P0,0.6875,0.4615,0.5882,0.8897,0.8395,0.443,0.6516,Validation,Internal Gemma prompt comparison
Sundanese,SUN,2,P1,0.6061,0.3333,0.5,0.9018,0.8,0.3662,0.5846,Validation,Internal Gemma prompt comparison
Sundanese,SUN,2,P2,0.5333,0.0,0.5,0.8291,0.775,0.4498,0.5145,Validation,Internal Gemma prompt comparison
Sundanese,SUN,2,P3,0.625,0.1,0.5,0.8689,0.7654,0.4078,0.5445,Validation,Internal Gemma prompt comparison
Yoruba,YOR,3,P0,0.3096,0.3158,0.3333,0.3088,0.5584,0.2614,0.3479,Validation,Internal Gemma prompt comparison
Yoruba,YOR,3,P1,0.2818,0.3214,0.3014,0.385,0.5856,0.335,0.3684,Validation,Internal Gemma prompt comparison
Yoruba,YOR,3,P2,0.4192,0.2424,0.3509,0.327,0.4439,0.2174,0.3335,Validation,Internal Gemma prompt comparison
Yoruba,YOR,3,P3,0.3247,0.2075,0.3265,0.4181,0.5665,0.3059,0.3582,Validation,Internal Gemma prompt comparison
Emakhuwa,VMW,3,P0,0.0,0.0,0.087,0.0,0.0385,0.0,0.0209,Validation,Internal Gemma prompt comparison
Emakhuwa,VMW,3,P1,0.1194,0.0,0.2081,0.0506,0.2821,0.0,0.11,Validation,Internal Gemma prompt comparison
Emakhuwa,VMW,3,P2,0.1481,0.1379,0.0,0.0,0.0784,0.0,0.0608,Validation,Internal Gemma prompt comparison
Emakhuwa,VMW,3,P3,0.2018,0.1429,0.3429,0.0541,0.2069,0.0,0.1581,Validation,Internal Gemma prompt comparison
Nigerian Pidgin,PCM,3,P0,0.2897,0.5154,0.5083,0.6857,0.6656,0.4547,0.5199,Validation,Internal Gemma prompt comparison
Nigerian Pidgin,PCM,3,P1,0.2987,0.6586,0.5068,0.6904,0.7006,0.528,0.5639,Validation,Internal Gemma prompt comparison
Nigerian Pidgin,PCM,3,P2,0.418,0.5011,0.2619,0.6017,0.4858,0.2702,0.4231,Validation,Internal Gemma prompt comparison
Nigerian Pidgin,PCM,3,P3,0.3321,0.714,0.4476,0.6824,0.651,0.4388,0.5443,Validation,Internal Gemma prompt comparison
