Evaluation track,Language code,Language,Resource tier,System,Number of evaluated emotions,Anger F1,Fear F1,Joy F1,Sadness F1,Surprise F1,Macro-F1,Disgust F1,Published best macro-F1 for the same track,Gap to same-track published best (system minus published),Published benchmark source
Track A,ENG,English,1,B1-Majority,5,0.2078,0.7168,0.39,0.4826,0.4483,0.4491,,0.823,-0.3739,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,ENG,English,1,B2-XLM-R,5,0.166,0.779,0.5971,0.6173,0.6022,0.5523,,0.823,-0.2707,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,ENG,English,1,B3-Gemma4-31B,5,0.7407,0.5176,0.6522,0.6667,0.56,0.6274,0.0,0.823,-0.1956,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HIN,Hindi,1,B1-Majority,6,0.275,0.2526,0.3181,0.2867,0.2541,0.2641,0.198,0.926,-0.6619,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HIN,Hindi,1,B2-XLM-R,6,0.8328,0.8881,0.8789,0.8199,0.9085,0.855,0.802,0.926,-0.071,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HIN,Hindi,1,B3-Gemma4-31B,6,0.7895,0.875,0.6286,0.7895,0.7273,0.7421,0.6429,0.926,-0.1839,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,RUS,Russian,1,B1-Majority,6,0.3687,0.1949,0.3236,0.2472,0.2191,0.2618,0.2175,0.901,-0.6392,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,RUS,Russian,1,B2-XLM-R,6,0.8834,0.9202,0.9171,0.8261,0.8571,0.8791,0.8707,0.901,-0.0219,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,RUS,Russian,1,B3-Gemma4-31B,6,0.8364,0.866,0.8354,0.8506,0.6866,0.818,0.8333,0.901,-0.083,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HAU,Hausa,2,B1-Majority,6,0.3243,0.2706,0.2609,0.4659,0.2816,0.3121,0.2692,0.751,-0.4389,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HAU,Hausa,2,B2-XLM-R,6,0.5505,0.7224,0.5512,0.7306,0.5053,0.6326,0.7358,0.751,-0.1184,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,HAU,Hausa,2,B3-Gemma4-31B,6,0.5882,0.5969,0.6338,0.6583,0.4393,0.5606,0.4473,0.751,-0.1904,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,KIN,Kinyarwanda,2,B1-Majority,6,0.3091,0.1105,0.2938,0.4106,0.0826,0.2176,0.0988,0.657,-0.4394,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,KIN,Kinyarwanda,2,B2-XLM-R,6,0.4659,0.1315,0.461,0.4806,0.1333,0.3928,0.6842,0.657,-0.2642,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,KIN,Kinyarwanda,2,B3-Gemma4-31B,6,0.5614,0.3883,0.5972,0.5613,0.1667,0.4213,0.2527,0.657,-0.2357,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,SUN,Sundanese,2,B1-Majority,6,0.1663,0.0947,0.8418,0.374,0.3924,0.334,0.1349,0.55,-0.216,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,SUN,Sundanese,2,B2-XLM-R,6,0.0,0.0,0.8418,0.374,0.0,0.2026,0.0,0.55,-0.3474,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,SUN,Sundanese,2,B3-Gemma4-31B,6,0.6875,0.5882,0.8897,0.8395,0.443,0.6516,0.4615,0.55,0.1016,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,YOR,Yoruba,3,B1-Majority,6,0.1227,0.0532,0.1674,0.4359,0.1572,0.1647,0.0519,0.461,-0.2963,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,YOR,Yoruba,3,B2-XLM-R,6,0.0,0.0,0.1674,0.4359,0.1572,0.1267,0.0,0.461,-0.3343,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,YOR,Yoruba,3,B3-Gemma4-31B,6,0.3096,0.3333,0.3088,0.5584,0.2614,0.3479,0.3158,0.461,-0.1131,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,VMW,Emakhuwa,3,B1-Majority,6,0.1095,0.1322,0.2281,0.3035,0.1209,0.1626,0.0815,0.325,-0.1624,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,VMW,Emakhuwa,3,B2-XLM-R,6,0.0,0.0,0.2281,0.0,0.0,0.038,0.0,0.325,-0.287,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,VMW,Emakhuwa,3,B3-Gemma4-31B,6,0.0,0.087,0.0,0.0385,0.0,0.0209,0.0,0.325,-0.3041,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,PCM,Nigerian Pidgin,3,B1-Majority,6,0.1649,0.1985,0.2661,0.4213,0.4173,0.3566,0.6719,0.674,-0.3174,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,PCM,Nigerian Pidgin,3,B2-XLM-R,6,0.3866,0.3609,0.7086,0.666,0.5468,0.5692,0.7461,0.674,-0.1048,"SemEval-2025 Task 11, Table 5 (Track A)"
Track A,PCM,Nigerian Pidgin,3,B3-Gemma4-31B,6,0.2897,0.5083,0.6857,0.6656,0.4547,0.5199,0.5154,0.674,-0.1541,"SemEval-2025 Task 11, Table 5 (Track A)"
Track C,ENG,English,1,B1-Majority,5,0.2078,0.7168,0.39,0.4826,0.4483,0.4491,0.0,0.797,-0.3479,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,ENG,English,1,B2-XLM-R,5,0.2634,0.3818,0.5039,0.6001,0.3592,0.4217,0.0,0.797,-0.3753,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,ENG,English,1,B3-Gemma4-31B,5,0.7407,0.5176,0.6522,0.6667,0.56,0.6274,0.0,0.797,-0.1696,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HIN,Hindi,1,B1-Majority,6,0.275,0.2526,0.3181,0.2867,0.2541,0.2641,0.198,0.919,-0.6549,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HIN,Hindi,1,B2-XLM-R,6,0.6836,0.7263,0.8642,0.7681,0.739,0.7359,0.6339,0.919,-0.1831,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HIN,Hindi,1,B3-Gemma4-31B,6,0.7895,0.875,0.6286,0.7895,0.7273,0.7421,0.6429,0.919,-0.1769,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,RUS,Russian,1,B1-Majority,6,0.3687,0.1949,0.3236,0.2472,0.2191,0.2618,0.2175,0.906,-0.6442,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,RUS,Russian,1,B2-XLM-R,6,0.7742,0.5722,0.8194,0.7451,0.6801,0.6601,0.3694,0.906,-0.2459,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,RUS,Russian,1,B3-Gemma4-31B,6,0.8364,0.866,0.8354,0.8506,0.6866,0.818,0.8333,0.906,-0.088,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HAU,Hausa,2,B1-Majority,6,0.3243,0.2706,0.2609,0.4659,0.2816,0.3121,0.2692,0.709,-0.3969,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HAU,Hausa,2,B2-XLM-R,6,0.3243,0.2706,0.2609,0.0,0.0,0.1426,0.0,0.709,-0.5664,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,HAU,Hausa,2,B3-Gemma4-31B,6,0.5882,0.5969,0.6338,0.6583,0.4393,0.5606,0.4473,0.709,-0.1484,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,KIN,Kinyarwanda,2,B1-Majority,6,0.3091,0.1105,0.2938,0.4106,0.0826,0.2176,0.0988,0.519,-0.3014,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,KIN,Kinyarwanda,2,B2-XLM-R,6,0.2755,0.0,0.1456,0.159,0.0,0.0967,0.0,0.519,-0.4223,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,KIN,Kinyarwanda,2,B3-Gemma4-31B,6,0.5614,0.3883,0.5972,0.5613,0.1667,0.4213,0.2527,0.519,-0.0977,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,SUN,Sundanese,2,B1-Majority,6,0.1663,0.0947,0.8418,0.374,0.3924,0.334,0.1349,0.467,-0.133,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,SUN,Sundanese,2,B2-XLM-R,6,0.2754,0.0,0.4978,0.6882,0.3187,0.3355,0.233,0.467,-0.1315,"SemEval-2025 Task 11, Table 7 (Track C)"
