Language,Language code,Comparison,Macro-F1 difference (first minus second),95% confidence interval lower bound,95% confidence interval upper bound,Raw p-value,Holm-adjusted p-value,Significant after Holm correction (alpha=0.05),Evaluation split,Statistical test,Analysis scope
English,ENG,prompt_only vs neither,0.0,0.0,0.0,1.0,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
English,ENG,config_only vs neither,0.0045,-0.0025,0.0113,0.211,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
English,ENG,both vs neither,0.0045,-0.0025,0.0113,0.211,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
English,ENG,both vs prompt_only,0.0045,-0.0025,0.0113,0.211,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
English,ENG,both vs config_only,0.0,0.0,0.0,1.0,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hindi,HIN,prompt_only vs neither,0.0351,0.0276,0.0423,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hindi,HIN,config_only vs neither,0.0341,0.0277,0.0407,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hindi,HIN,both vs neither,0.0453,0.0375,0.053,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hindi,HIN,both vs prompt_only,0.0102,0.0046,0.0158,0.0002,0.0066,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hindi,HIN,both vs config_only,0.0111,0.0047,0.0175,0.001,0.026,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Russian,RUS,prompt_only vs neither,0.03,0.0226,0.0376,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Russian,RUS,config_only vs neither,0.0433,0.0355,0.0512,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Russian,RUS,both vs neither,0.0489,0.0401,0.0577,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Russian,RUS,both vs prompt_only,0.0189,0.0105,0.0271,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Russian,RUS,both vs config_only,0.0056,-0.0008,0.0119,0.0838,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hausa,HAU,prompt_only vs neither,0.0299,0.0144,0.0453,0.0004,0.0116,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hausa,HAU,config_only vs neither,-0.0174,-0.0319,-0.0032,0.0158,0.3634,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hausa,HAU,both vs neither,0.025,0.0095,0.0402,0.0006,0.0168,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hausa,HAU,both vs prompt_only,-0.0049,-0.0174,0.0075,0.4426,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Hausa,HAU,both vs config_only,0.0423,0.0285,0.0567,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Kinyarwanda,KIN,prompt_only vs neither,0.0193,0.0051,0.0332,0.008,0.192,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Kinyarwanda,KIN,config_only vs neither,-0.002,-0.0148,0.0106,0.7678,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Kinyarwanda,KIN,both vs neither,0.0124,-0.0013,0.0262,0.0744,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Kinyarwanda,KIN,both vs prompt_only,-0.0069,-0.0219,0.0085,0.3762,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Kinyarwanda,KIN,both vs config_only,0.0144,0.0011,0.0275,0.0336,0.7392,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Sundanese,SUN,prompt_only vs neither,0.0,0.0,0.0,1.0,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Sundanese,SUN,config_only vs neither,-0.0384,-0.0584,-0.019,0.0002,0.0066,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Sundanese,SUN,both vs neither,-0.0384,-0.0584,-0.019,0.0002,0.0066,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Sundanese,SUN,both vs prompt_only,-0.0384,-0.0584,-0.019,0.0002,0.0066,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Sundanese,SUN,both vs config_only,0.0,0.0,0.0,1.0,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
